ID,SampleID,StartTimeUTC,EndTimeUTC,StartTimeLocal,EndTimeLocal,TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2,Volume,Chamber,SetupID,a1,b1,c1,d1,e1,f1,a2,b2,c2,d2,e2,f2
5390,5455,2022-11-02 17:00:00,2022-11-02 18:00:00,2022-11-02 20:00:00,2022-11-02 21:00:00,194.47,3329.41,3359,1050,100,1,2309,1050,411.51,991.15,2,24,404.322936385604,-0.0136093738423004,0.000207357922761586,-0.00000207513968007094,0.00000000816799154820005,-0.0000000000104213103734619,409.253576648134,0.0140172466847185,0.000123414324469878,-0.00000172782222866091,0.00000000624617997591328,-0.00000000000699701266594966
5391,5456,2022-11-02 18:00:00,2022-11-02 19:00:00,2022-11-02 21:00:00,2022-11-02 22:00:00,211.11,3639.59,3673,1090,100,1,2583,1090,411.4,990.81,1,24,409.691584950893,-0.0238515624883936,0.00025480637250384,-0.00000305328210224936,0.0000000129562684218928,-0.000000000017394713931279,409.329154505286,0.0092642949851508,0.000117594477312051,-0.00000156673590032816,0.0000000062135318931901,-0.0000000000078939406215974
5392,5457,2022-11-02 19:00:00,2022-11-02 20:00:00,2022-11-02 22:00:00,2022-11-02 23:00:00,181.92,3114.48,3141,905,100,1,2236,905,410.66,991.65,2,24,403.53775905642,-0.0080051076614288,0.0000752149291076412,-0.00000137567512591747,0.00000000670683042309985,-0.00000000000936629879631936,407.606723821276,0.0242517834450346,-0.0000583329767683708,-0.00000045242176377661,0.00000000283998706726694,-0.00000000000394145769943008
5393,5458,2022-11-02 20:00:00,2022-11-02 21:00:00,2022-11-02 23:00:00,2022-11-03 00:00:00,180.64,3114.17,3143,867,100,1,2276,867,410.71,990.97,1,24,410.663003542856,-0.0258696412690599,0.000320230592938566,-0.00000378126558985283,0.0000000154393968779126,-0.000000000020097039011974,408.96454148792,0.0145885239727702,0.00000833018721866835,-0.000000902001525600089,0.00000000438334964935557,-0.000000000005937261144879
5394,5459,2022-11-02 21:00:00,2022-11-02 22:00:00,2022-11-03 00:00:00,2022-11-03 01:00:00,158.17,2707.83,2729,679,100,1,2050,679,409.59,992.23,2,24,402.985426814694,-0.0314413976108502,0.000554390891918709,-0.00000502670227039064,0.0000000182224906990978,-0.0000000000222372721506279,407.266434391984,0.0197232871306631,0.0000241903227592281,-0.000000972690215709536,0.00000000357443005241558,-0.0000000000034643185210168
5395,5460,2022-11-02 22:00:00,2022-11-02 23:00:00,2022-11-03 01:00:00,2022-11-03 02:00:00,151.27,2607.89,2632,562,100,1,2070,562,408.84,990.92,1,24,409.305377110685,-0.00429872822397904,-0.000114062866112809,-0.000000427431300633248,0.0000000043787144437557,-0.00000000000693921664183763,407.582115256358,0.00129853122883938,0.000153032876898039,-0.00000139112572662416,0.00000000427130455239133,-0.00000000000408686171979984
5396,5461,2022-11-02 23:00:00,2022-11-03 00:00:00,2022-11-03 02:00:00,2022-11-03 03:00:00,115.16,1971.54,1988,469,100,1,1519,469,407.05,991.84,2,24,401.940991096682,-0.0339639075249509,0.000549547556380952,-0.00000462644282846222,0.0000000157855845199856,-0.0000000000182150078618642,404.997997627776,0.0264561704684409,-0.000147342270517798,0.0000000242300127943378,0.00000000166670328232812,-0.00000000000272369851263467
5397,5462,2022-11-03 00:00:00,2022-11-03 01:00:00,2022-11-03 03:00:00,2022-11-03 04:00:00,124.27,2142.35,2162,473,100,1,1689,473,407.65,990.91,1,24,408.148406917811,-0.0232635298307044,0.000258475866821863,-0.0000032217182851871,0.0000000131771671007858,-0.000000000016943625927386,405.820444905003,0.00854501985213935,0.000116296808477124,-0.00000158212673417414,0.00000000607992556623467,-0.00000000000726718798223147
5398,5463,2022-11-03 01:00:00,2022-11-03 02:00:00,2022-11-03 04:00:00,2022-11-03 05:00:00,121.19,2074.78,2095,438,100,1,1657,438,405.84,990.43,2,24,400.086542325272,-0.0197702532367056,0.000300358639871925,-0.00000295854671278888,0.0000000111952060831213,-0.0000000000137616220425388,403.161709426726,0.0156485236312687,0.0000791077055369745,-0.00000140844822128681,0.00000000555082190270296,-0.00000000000651922252085888
5399,5464,2022-11-03 02:00:00,2022-11-03 03:00:00,2022-11-03 05:00:00,2022-11-03 06:00:00,124.78,2151.12,2172,367,100,1,1805,367,409.14,990.43,1,24,406.921707303865,-0.0223418023627164,0.000243788186554134,-0.00000287807874896855,0.0000000114940540139128,-0.0000000000144246414584883,406.329051278026,0.0172142181780446,-0.00000427647546568214,-0.0000000524339075575236,-0.000000000992081005942432,0.00000000000311695291045245
