DataID,TimeStamp,DeviceID,DeviceData
17016775,2022-10-12 02:17:30.282134,18,2.2 100 994.8 2.2 0
17020376,2022-10-12 03:17:30.637825,18,1.9 100 994.7 1.8 0
17023975,2022-10-12 04:17:29.812057,18,2.1 100 994.3 2.1 0
17027575,2022-10-12 05:17:29.813878,18,2.1 100 994 2.1 0
17031175,2022-10-12 06:17:29.795671,18,2 100 993.8 2 0
17034776,2022-10-12 07:17:29.805610,18,2.7 100 993.8 2.7 0
17038376,2022-10-12 08:17:29.821672,18,6.2 85 993.9 3.9 0
17041976,2022-10-12 09:17:29.843533,18,7.1 81 993.9 4.1 0
17045575,2022-10-12 10:17:29.782982,18,9.1 66 993.8 3.2 0
dummy,2022-10-12 11:17:26.312986,,
dummy,2022-10-12 12:17:25.989080,,
dummy,2022-10-12 13:17:26.001021,,
dummy,2022-10-12 14:17:25.903503,,
dummy,2022-10-12 15:17:26.691092,,
dummy,2022-10-12 16:17:26.449347,,
dummy,2022-10-12 17:17:26.394659,,
dummy,2022-10-12 18:17:26.525218,,
dummy,2022-10-12 19:17:26.521990,,
dummy,2022-10-12 20:17:26.417583,,
dummy,2022-10-12 21:17:26.429848,,
dummy,2022-10-12 22:17:26.471549,,
dummy,2022-10-12 23:17:26.394538,,
dummy,2022-10-13 00:17:26.392949,,
dummy,2022-10-13 01:17:26.464326,,
dummy,2022-10-13 02:17:26.360651,,
dummy,2022-10-13 03:17:26.406534,,
dummy,2022-10-13 04:17:26.413766,,
dummy,2022-10-13 05:17:26.363277,,
dummy,2022-10-13 06:17:26.437357,,
dummy,2022-10-13 07:17:26.440896,,
dummy,2022-10-13 08:17:26.510372,,
dummy,2022-10-13 09:17:26.454074,,
dummy,2022-10-13 10:17:26.381615,,
dummy,2022-10-13 11:17:25.981296,,
dummy,2022-10-13 12:17:26.412114,,
dummy,2022-10-13 13:17:26.441161,,
dummy,2022-10-13 14:17:26.046505,,
dummy,2022-10-13 15:17:26.537129,,
17153577,2022-10-13 16:17:30.742418,18,8.4 73 999.3 4 0
17157176,2022-10-13 17:17:29.808417,18,7.4 79 999.5 4.1 0
17160776,2022-10-13 18:17:29.784269,18,6.5 82 999.8 3.7 0
17164376,2022-10-13 19:17:29.816262,18,5.9 79 1000 2.7 0
17167977,2022-10-13 20:17:29.813046,18,5.9 81 999.9 3.1 0
17171577,2022-10-13 21:17:29.799077,18,5.6 84 1000.1 3.1 0
17175177,2022-10-13 22:17:29.821224,18,5.3 88 1000.2 3.5 0
17178777,2022-10-13 23:17:29.862018,18,5.1 89 1000.3 3.6 0
17182377,2022-10-14 00:17:29.834746,18,5.2 89 1000.5 3.6 0
17185977,2022-10-14 01:17:29.829006,18,4.5 92 1000.6 3.4 0
17189577,2022-10-14 02:17:29.823097,18,4.2 94 1000.8 3.4 0
17193177,2022-10-14 03:17:29.860468,18,4.2 93 1000.8 3.2 0
17196777,2022-10-14 04:17:29.834025,18,4.1 94 1000.7 3.3 0
17200377,2022-10-14 05:17:29.774132,18,3.7 96 1000.6 3.1 0
17203977,2022-10-14 06:17:29.811086,18,1.1 100 1000.6 1.1 0
17207577,2022-10-14 07:17:29.855107,18,0.7 100 1000.6 0.7 0
17211177,2022-10-14 08:17:29.806406,18,2.8 100 1000.5 2.8 0
17214777,2022-10-14 09:17:29.797997,18,4.4 91 1000.5 3.2 0
17218377,2022-10-14 10:17:29.842534,18,7 74 1000.7 2.8 0
17221977,2022-10-14 11:17:29.781065,18,7.8 67 1000.6 2.1 0
17225577,2022-10-14 12:17:29.822033,18,8.9 69 1000.3 3.5 0
17229177,2022-10-14 13:17:29.836232,18,8.8 71 1000.2 3.9 0
17232778,2022-10-14 14:17:30.242977,18,7.3 83 1000.3 4.6 0
17236378,2022-10-14 15:17:30.766842,18,7.1 84 1000.1 4.7 0
17239979,2022-10-14 16:17:30.749557,18,6.6 85 999.9 4.3 0
17243579,2022-10-14 17:17:30.730794,18,6.9 83 999.7 4.3 0
17247179,2022-10-14 18:17:30.763003,18,7 82 999.6 4.2 0
17250779,2022-10-14 19:17:30.749542,18,7 85 999.6 4.6 0
17254379,2022-10-14 20:17:30.579998,18,7.1 85 999.6 4.9 0
17257978,2022-10-14 21:17:29.790805,18,7.2 83 999.7 4.5 0
17261578,2022-10-14 22:17:29.769314,18,6.6 84 999.8 4.1 0
17265178,2022-10-14 23:17:29.795039,18,5.3 91 999.8 3.9 0
17268778,2022-10-15 00:17:29.772949,18,4.5 94 999.9 3.7 0
17272378,2022-10-15 01:17:29.783390,18,5.4 90 1000.1 3.9 0
17275978,2022-10-15 02:17:29.775055,18,5.7 88 1000.1 3.9 0
17279578,2022-10-15 03:17:29.789194,18,5.7 87 1000.1 3.8 0
17283178,2022-10-15 04:17:29.826512,18,6 84 1000 3.7 0
17286778,2022-10-15 05:17:29.770678,18,6 85 1000.3 3.7 0
17290378,2022-10-15 06:17:29.780912,18,5.9 85 1000.7 3.7 0
17293978,2022-10-15 07:17:29.760777,18,6 85 1000.7 3.7 0
17297579,2022-10-15 08:17:29.766145,18,6.3 81 1001.1 3.4 0
17301179,2022-10-15 09:17:29.770162,18,6.8 76 1001.2 3 0
17304779,2022-10-15 10:17:29.786521,18,7.1 76 1001.4 3.2 0
17308379,2022-10-15 11:17:29.794091,18,7.8 73 1001.7 3.3 0
17311979,2022-10-15 12:17:29.807774,18,8.4 70 1001.7 3.2 0
17315579,2022-10-15 13:17:29.823171,18,8.8 72 1001.8 4 0
17319180,2022-10-15 14:17:30.256136,18,9.4 68 1001.6 3.8 0
17322780,2022-10-15 15:17:30.796759,18,9.7 65 1001.5 3.6 0
17326380,2022-10-15 16:17:30.789975,18,9.1 69 1001.5 3.7 0
17329980,2022-10-15 17:17:30.136571,18,8.5 70 1001.8 3.5 0
17333580,2022-10-15 18:17:30.598654,18,7.8 76 1002 3.9 0
17337181,2022-10-15 19:17:30.783881,18,7.6 77 1002.2 3.9 0
17340781,2022-10-15 20:17:30.841035,18,7.3 77 1002.4 3.6 0
17344381,2022-10-15 21:17:30.768391,18,7.2 75 1002.8 3.2 0
17347981,2022-10-15 22:17:30.783597,18,7 73 1003.1 2.5 0
17351581,2022-10-15 23:17:30.777103,18,6.5 73 1003.5 2 0
17355181,2022-10-16 00:17:30.770855,18,6.2 73 1003.8 1.8 0
17358781,2022-10-16 01:17:30.763039,18,5.9 74 1004.1 1.7 0
17362381,2022-10-16 02:17:30.778155,18,5.4 76 1004.3 1.6 0
17365981,2022-10-16 03:17:30.783202,18,4.8 79 1004.6 1.5 0
17369582,2022-10-16 04:17:30.784514,18,4.3 80 1004.9 1.3 0
17373182,2022-10-16 05:17:30.783612,18,4.2 81 1005.1 1.3 0
17376782,2022-10-16 06:17:30.765154,18,3.8 82 1005.3 1.1 0
